station_id,latitude,longitude,upstream_pfas_facility_count,nearest_pfas_facility_km,watershed_area_km2,pct_urban,mean_annual_flow_m3s,stream_order,month,water_pfas_ng_l
seg_0000,35.2,-78.98,1,31.804938295805602,451.85686821380773,19.8,26.7,4,12,80.0
seg_0000_m0,35.2,-78.98,1,31.804938295805602,451.85686821380773,19.8,26.7,4,1,82.6
seg_0000_m3,35.2,-78.98,1,31.804938295805602,451.85686821380773,19.8,26.7,4,4,76.2
seg_0000_m6,35.2,-78.98,1,31.804938295805602,451.85686821380773,19.8,26.7,4,7,91.3
seg_0000_m9,35.2,-78.98,1,31.804938295805602,451.85686821380773,19.8,26.7,4,10,85.5
seg_0001,35.15,-78.95,1,25.33622110733914,627.0611368547239,14.0,35.0,5,4,160.0
seg_0001_m0,35.15,-78.95,1,25.33622110733914,627.0611368547239,14.0,35.0,5,1,165.8
seg_0001_m3,35.15,-78.95,1,25.33622110733914,627.0611368547239,14.0,35.0,5,4,150.7
seg_0001_m6,35.15,-78.95,1,25.33622110733914,627.0611368547239,14.0,35.0,5,7,179.8
seg_0001_m9,35.15,-78.95,1,25.33622110733914,627.0611368547239,14.0,35.0,5,10,170.4
seg_0002,35.1,-78.92,1,18.869999999999774,1047.178235889639,15.2,60.3,4,2,320.0
seg_0002_m0,35.1,-78.92,1,18.869999999999774,1047.178235889639,15.2,60.3,4,1,330.6
seg_0002_m3,35.1,-78.92,1,18.869999999999774,1047.178235889639,15.2,60.3,4,4,298.9
seg_0002_m6,35.1,-78.92,1,18.869999999999774,1047.178235889639,15.2,60.3,4,7,368.3
seg_0002_m9,35.1,-78.92,1,18.869999999999774,1047.178235889639,15.2,60.3,4,10,343.4
seg_0003,35.05,-78.88,1,11.955065871837686,1312.900784966131,17.3,75.1,5,4,500.0
seg_0003_m0,35.05,-78.88,1,11.955065871837686,1312.900784966131,17.3,75.1,5,1,526.0
seg_0003_m3,35.05,-78.88,1,11.955065871837686,1312.900784966131,17.3,75.1,5,4,473.0
