date,PFOS_finished,PFOS_raw,PFOA_finished,PFOA_raw,GenX_finished,GenX_raw,PFHxS_finished,PFHxS_raw,PFBS_finished,PFBS_raw,PFNA_finished,PFNA_raw,PFDA_finished,PFDA_raw,Total_finished,Total_raw
2018-09-11,20.1,,12.2,,17.5,,6.95,,5.25,,2.85,,2.53,,672.24,
2018-09-12,,17.8,,9.08,,16.9,,7.55,,5.44,,2.28,,1.43,,191.16
2018-09-14,,17.7,,10.5,,15.5,,7.05,,4.98,,2.18,,1.57,,297.3
2018-09-15,,16.2,,12.1,,18.8,,6.43,,4.77,,2.53,,1.7,,247.14
2018-09-16,,13.5,,8.81,,15.2,,5.63,,4.37,,1.64,,1.44,,233.1
2018-09-17,,9.72,,5.54,,33.8,,3.71,,2.54,,0.831,,1.07,,163.9
2018-09-18,,7.83,,4.41,,18.6,,2.87,,1.96,,0,,0.683,,97.26
2018-09-19,13.4,6.45,6.43,3.35,19.8,17.6,4,2.59,2.66,1.52,1.99,0.777,2.23,0,491.46,74.71
2018-09-20,,7.03,,3.34,,18.9,,2.62,,1.69,,0.824,,0.693,,79.85
2018-09-21,,7.36,,3.2,,12.6,,3.27,,1.99,,0.999,,0.736,,83.74
2018-09-22,,7.97,,3.23,,8.44,,1.66,,1.5,,0.973,,0,,60.67
2018-09-23,,6.42,,3.23,,5.11,,2.16,,1.43,,0.996,,0,,46.88
2018-09-24,10.2,7.31,5.43,3.39,7.34,6.32,3.52,2.07,1.75,1.73,1.84,0.914,1.68,0,327.31,58.03
2018-09-25,,7.15,,3.38,,8.54,,1.97,,1.53,,1.07,,0,,67.17
2018-09-26,,7.47,,4.28,,15.9,,1.97,,1.79,,1.03,,0,,140.34
2018-09-27,,7.59,,3.95,,17.5,,2.36,,1.75,,0.926,,0,,113.62
2018-09-28,,10.4,,6.12,,27.7,,3.96,,2.43,,0.744,,0,,148.07
2018-09-29,,10.6,,6.13,,25.1,,4.29,,2.74,,1.02,,0,,144.44
2018-09-30,,14.6,,6.14,,12.4,,4.81,,2.64,,1.4,,0.966,,116.26
2018-10-01,15.8,16,8.51,7.05,16.9,10.3,5.26,4.34,2.93,2.82,2,1.68,1.37,1.15,475.86,117.46
2018-10-02,,14.2,,7.17,,9.79,,4.25,,2.85,,1.39,,1.08,,121.85
2018-10-03,,14.9,,6.96,,11.7,,3.89,,2.89,,1.55,,1.37,,129.01
2018-10-04,,14.7,,8.17,,10.4,,4.25,,3.31,,1.76,,1.46,,137.04
2018-10-05,,14.8,,7.43,,11,,3.75,,2.6,,1.81,,1.33,,141.83
2018-10-06,,16,,9.59,,10.6,,3.9,,3.34,,1.83,,1.59,,155.18
2018-10-07,,16.8,,9.89,,10.2,,4.52,,3.54,,2.06,,1.63,,156.79
2018-10-08,17,17.2,10.8,8.97,11.2,11,5.54,3.88,3.63,3.77,2.51,2.13,2.22,1.57,442.19,144.34
2018-10-09,,19.1,,10.3,,10.2,,4.35,,3.67,,1.86,,1.67,,152.73
2018-10-10,,18.2,,11.6,,9.94,,4.64,,4.02,,2.15,,1.68,,147.25
2018-10-11,,16.8,,10.9,,9.58,,5,,3.72,,2.14,,1.8,,146.96
2018-10-12,,18,,10.4,,10.8,,4.67,,3.73,,2.27,,1.92,,155.1
2018-10-15,20.9,,14.3,,19.4,,6.44,,4.85,,3.34,,2.71,,515.53,
2018-10-23,19.3,,11.6,,8.39,,5.51,,3.93,,2.8,,1.94,,330.93,
2018-10-31,18.8,,13.7,,8.7,,6.13,,4.7,,2.73,,2.24,,299.16,
2018-11-05,15.4,,11.4,,9.68,,5.12,,3.8,,2.39,,2.06,,259.98,
2018-11-13,12.8,,7.81,,9.3,,3.92,,3.01,,1.75,,1.49,,303.05,
2018-11-19,7.7,,4.56,,5.46,,2.23,,1.75,,1.25,,1.03,,179.79,
2018-11-20,,5.45,,3.14,,3.96,,2.05,,1.64,,0.89,,0,,39.95
2018-11-21,6.64,,3.56,,3.57,,1.85,,1.35,,1.12,,0.738,,139.32,
2018-11-27,,12.6,,7.5,,12,,3.75,,3,,1.13,,0.711,,97.3
2018-11-28,8.22,,5.18,,8.24,,3,,1.98,,1.13,,0.799,,162.84,
2018-12-03,,12.8,,7.36,,6.93,,3.01,,2.81,,1.16,,0.854,,85.85
2018-12-04,7.24,,4.94,,4.44,,2.23,,1.67,,0.858,,0,,121.99,
2018-12-10,,9.44,,6.41,,16,,3.19,,2.54,,1.41,,0.807,,122.92
2018-12-11,6.4,,4.54,,8.71,,1.99,,1.7,,1.22,,0.657,,155.16,
2018-12-17,,6.67,,4.01,,25.6,,2.81,,1.73,,0.749,,0,,95.77
2018-12-18,4.57,,2.69,,9.53,,1.75,,1.07,,0.617,,0,,99.4,
2018-12-24,,11.7,,5.73,,5.46,,3.85,,2.29,,0.91,,0,,55.04
2018-12-26,3.96,,2.08,,2.82,,1.35,,0.717,,0,,0,,92.32,
2018-12-31,,13,,7.09,,12.8,,3.45,,2.65,,1.09,,0.736,,83.19
2019-01-02,6.47,,3.37,,4.08,,0,,0,,0,,0,,124.43,
2019-01-07,,12.6,,7.05,,6.92,,3.73,,2.55,,0.826,,0,,80.75
2019-01-08,7.98,,4.61,,3.98,,1.77,,1.31,,0.962,,0,,129.16,
2019-01-14,,11.8,,6.78,,6.83,,3.71,,2.64,,1.23,,0,,82.53
2019-01-15,6.23,,4.72,,4.58,,1.99,,1.52,,0.837,,0.638,,126.64,
2019-01-21,,8.92,,6.68,,9.69,,2.73,,2.16,,0.952,,0.593,,92.05
2019-01-22,5.67,,3.38,,6.02,,1.88,,1.28,,0.813,,0,,108.34,
2019-01-28,,10.4,,6.74,,4.31,,3.7,,2.51,,0.953,,0,,78.43
2019-01-29,4.31,,3.18,,3.54,,1.51,,1.12,,0.697,,0,,105.32,
2019-02-04,,11.1,,6.06,,11.8,,3.18,,2.28,,0.972,,0,,100.73
2019-02-05,6.95,,4.03,,7.2,,1.93,,1.41,,0.759,,0,,120,
2019-02-11,,12.6,,6.32,,19,,4.28,,2.63,,0.735,,0,,109
2019-02-12,7.5,,4.3,,11.5,,2.72,,1.56,,0,,0,,143.22,
2019-02-18,,9.24,,4.58,,11.9,,4.25,,2.26,,0,,0,,90.49
2019-02-19,5.85,,3.91,,10.6,,2.52,,1.72,,0,,0,,147.33,
2019-02-25,,9.54,,4.41,,4.08,,2.1,,1.6,,0.809,,0,,40.99
2019-02-26,5.34,,3.99,,3.49,,1.61,,1.25,,0.782,,0.698,,113.9,
2019-03-04,,7.93,,4.68,,8.59,,2.26,,1.58,,0.723,,0,,58.45
2019-03-05,5.14,,2.93,,5.28,,1.79,,1.08,,0,,0,,109.73,
2019-03-11,,8.69,,4.64,,6.75,,2.5,,1.61,,0.629,,0,,63.29
2019-03-12,2.61,,1.92,,5.5,,0.775,,0.853,,0,,0,,44.76,
2019-03-18,,13.6,,6.86,,7.12,,3.51,,2.3,,0.99,,0.747,,75.86
2019-03-19,3.43,,3.04,,5.25,,1.13,,1.11,,0,,0,,50.48,
2019-03-25,,10.5,,5.4,,3.14,,3.03,,2.03,,0.89,,0,,52.52
2019-03-26,1.67,,1.78,,3.35,,0.73,,0.72,,0,,0,,35.5,
2019-04-01,,11.1,,6.32,,7.9,,2.98,,1.95,,0.86,,0.673,,77.7
2019-04-02,1.18,,1.67,,3.81,,0,,0.62,,0,,0,,34.82,
2019-04-08,,12.2,,5.82,,18.7,,4.26,,2.55,,0.93,,0,,122.71
2019-04-09,1.87,,1.95,,9.18,,0.817,,1.04,,0,,0,,60.48,
2019-04-15,,8.55,,3.69,,8.39,,2.5,,2.05,,0.83,,0,,60.89
2019-04-16,0.708,,1.09,,2.87,,0,,0.766,,0,,0,,34.4,
2019-04-22,,9.38,,4.63,,18,,2.69,,1.96,,0.73,,0,,95.69
2019-04-23,1.06,,1.24,,7.22,,0,,0.81,,0,,0,,50.6,
2019-04-29,,16.6,,8.79,,8.64,,4.15,,2.77,,1.42,,0.718,,108.78
2019-04-30,1.26,,1.41,,3.27,,0,,0.62,,0,,0,,33.56,
2019-05-06,,15.1,,7.87,,6.79,,3.3,,2.77,,1.17,,0.73,,90.46
2019-05-07,1.18,,1.66,,3.67,,0,,0.91,,0,,0,,41.15,
2019-05-13,,18.2,,8.24,,12,,4.13,,3.05,,1.17,,0.932,,123.2
2019-05-14,1.09,,1.6,,4.88,,0,,0.92,,0,,0,,51.19,
2019-05-20,,14,,7.03,,19.6,,4.7,,2.64,,1.24,,0,,146.58
2019-05-21,0.852,,1.15,,7.24,,0.641,,0.81,,0,,0,,64.06,
2019-05-27,,13.8,,6.97,,23.6,,4.46,,3.15,,0.95,,0.75,,160.3
2019-05-28,0.874,,1.29,,9.32,,0.626,,1.04,,0,,0,,86.94,
2019-06-03,,17.4,,7.97,,31.9,,5.83,,3.75,,1.29,,0.775,,262.47
2019-06-04,0.94,,1.26,,13.6,,0.628,,1.15,,0,,0,,118.84,
2019-06-10,,18.4,,8.27,,36.9,,6.25,,3.72,,1.02,,0.89,,281.19
2019-06-11,1.08,,1.26,,15.6,,0.592,,1.22,,0,,0,,130.71,
2019-06-17,,14,,6.51,,9.66,,4.52,,3.44,,1.07,,0.783,,107.88
2019-06-18,1.28,,1.48,,7.73,,0.815,,1.41,,0,,0,,82.41,
2019-06-24,,14.4,,8.61,,9.67,,3.58,,2.41,,1.42,,1.25,,140.68
2019-06-25,0.908,,2.25,,8.03,,0.903,,1.37,,0,,0,,111.14,
