"Sample date","Sweeney Finished","Sweeney Raw"
"09/11/2018",672.24,
"09/12/2018",,191.16
"09/14/2018",,297.3
"09/15/2018",,247.14
"09/16/2018",,233.1
"09/17/2018",,163.9
"09/18/2018",,97.26
"09/19/2018",491.46,74.71
"09/20/2018",,79.85
"09/21/2018",,83.74
"09/22/2018",,60.67
"09/23/2018",,46.88
"09/24/2018",327.31,58.03
"09/25/2018",,67.17
"09/26/2018",,140.34
"09/27/2018",,113.62
"09/28/2018",,148.07
"09/29/2018",,144.44
"09/30/2018",,116.26
"10/01/2018",475.86,117.46
"10/02/2018",,121.85
"10/03/2018",,129.01
"10/04/2018",,137.04
"10/05/2018",,141.83
"10/06/2018",,155.18
"10/07/2018",,156.79
"10/08/2018",442.19,144.34
"10/09/2018",,152.73
"10/10/2018",,147.25
"10/11/2018",,146.96
"10/12/2018",,155.1
"10/15/2018",515.53,
"10/23/2018",330.93,
"10/31/2018",299.16,
"11/05/2018",259.98,
"11/13/2018",303.05,
"11/19/2018",179.79,
"11/20/2018",,39.95
"11/21/2018",139.32,
"11/27/2018",,97.3
"11/28/2018",162.84,
"12/03/2018",,85.85
"12/04/2018",121.99,
"12/10/2018",,122.92
"12/11/2018",155.16,
"12/17/2018",,95.77
"12/18/2018",99.4,
"12/24/2018",,55.04
"12/26/2018",92.32,
"12/31/2018",,83.19
"01/02/2019",124.43,
"01/07/2019",,80.75
"01/08/2019",129.16,
"01/14/2019",,82.53
"01/15/2019",126.64,
"01/21/2019",,92.05
"01/22/2019",108.34,
"01/28/2019",,78.43
"01/29/2019",105.32,
"02/04/2019",,100.73
"02/05/2019",120,
"02/11/2019",,109
"02/12/2019",143.22,
"02/18/2019",,90.49
"02/19/2019",147.33,
"02/25/2019",,40.99
"02/26/2019",113.9,
"03/04/2019",,58.45
"03/05/2019",109.73,
"03/11/2019",,63.29
"03/12/2019",44.76,
"03/18/2019",,75.86
"03/19/2019",50.48,
"03/25/2019",,52.52
"03/26/2019",35.5,
"04/01/2019",,77.7
"04/02/2019",34.82,
"04/08/2019",,122.71
"04/09/2019",60.48,
"04/15/2019",,60.89
"04/16/2019",34.4,
"04/22/2019",,95.69
"04/23/2019",50.6,
"04/29/2019",,108.78
"04/30/2019",33.56,
"05/06/2019",,90.46
"05/07/2019",41.15,
"05/13/2019",,123.2
"05/14/2019",51.19,
"05/20/2019",,146.58
"05/21/2019",64.06,
"05/27/2019",,160.3
"05/28/2019",86.94,
"06/03/2019",,262.47
"06/04/2019",118.84,
"06/10/2019",,281.19
"06/11/2019",130.71,
"06/17/2019",,107.88
"06/18/2019",82.41,
"06/24/2019",,140.68
"06/25/2019",111.14,
"07/01/2019",,311.88
"07/02/2019",116.65,
"07/08/2019",,247.6
"07/09/2019",160.93,
"07/15/2019",,212.15
"07/16/2019",167.11,
"07/29/2019",,213.14
"07/30/2019",180.78,
"08/12/2019",,160.61
"08/13/2019",156.09,
"08/26/2019",,268.86
"08/27/2019",224.38,
"09/04/2019",,171.49
"09/05/2019",,186.76
"09/06/2019",,178.16
"09/09/2019",,376.85
"09/10/2019",244.4,
"09/23/2019",,203.39
"09/24/2019",195.89,
"10/01/2019",,289.65
"10/02/2019",269.05,
"10/07/2019",,342.63
"10/08/2019",330.07,
"10/21/2019",,377.01
"10/22/2019",344.6,
"11/04/2019",,258.14
"11/05/2019",153.48,
"11/18/2019",,248.02
"11/19/2019",130.97,
"12/02/2019",,154.43
"12/03/2019",107.71,
"12/16/2019",,200.76
"12/17/2019",109.57,
"12/30/2019",,108.1
"12/31/2019",85.07,
"01/13/2020",,99.11
"01/14/2020",74.95,
"01/27/2020",,123.91
"01/28/2020",108.03,
"02/10/2020",,61.24
"02/11/2020",69.29,
"02/24/2020",,64.4
"02/25/2020",69.93,
"03/09/2020",,99.64
"03/10/2020",79.32,
"04/06/2020",,126.07
"04/07/2020",50.37,
"05/04/2020",,117.58
"05/05/2020",48.56,
"06/01/2020",,51.87
"06/02/2020",41.5,
"07/06/2020",,150.15
"07/07/2020",93.85,
"07/22/2020",,158.32
"07/23/2020",,159.18
"07/24/2020",,177.2
"07/25/2020",,165.82
"08/02/2020",,127.48
"08/03/2020",,119.76
"08/04/2020",,120.64
"08/05/2020",115.43,113.47
"08/17/2020",,98.19
"08/18/2020",101.75,
"08/31/2020",,101.25
"09/01/2020",104.03,
"09/14/2020",,206.6
"09/15/2020",169.73,
"09/28/2020",,226.33
"09/29/2020",171.26,
"10/05/2020",,102.54
"10/06/2020",115.76,
"10/12/2020",,152.54
"10/13/2020",156.32,
"10/19/2020",,150.05
"10/20/2020",224.66,
"10/26/2020",,126.92
"10/27/2020",76.19,
"11/02/2020",,153.03
"11/09/2020",,154.39
"11/10/2020",83.7,
"11/16/2020",,86.12
"11/23/2020",,102.99
"11/24/2020",70.64,
"11/30/2020",,201.7
"12/07/2020",,107.72
"12/08/2020",75.48,
"12/14/2020",,133.65
"12/21/2020",,70.24
"12/22/2020",66.2,
"12/29/2020",,59.18
"01/04/2021",,80.55
"01/05/2021",56.5,
