System Name,County,System PWS ID,SYS_SAMPLE_CODE,SYS_LOC_CODE,LOC_TYPE,Sample Date,LAB_SDG,GenX_ng_L,PFOA_ng_L,PFOS_ng_L,year
"Albemarle, City of",Stanly,NC0184010,NC0184010-OW1-09212022-RW-PFAS,NC0184010-OW1,INTAKE,9/21/2022,594146,ND,2.39,4.97,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TW1-09212020-DW-PFAS,NC0184010-OW1,INTAKE,9/21/2022,594146,ND,2.63,4.8,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TT1-09212022-RW-PFAS,NC0184010-TT1,INTAKE,9/21/2022,594147,ND,1.91,4.79,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TS5-09212020-DW-PFAS,NC0184010-TT1,INTAKE,9/21/2022,594147,ND,1.77 J,3.93,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-OW1-10112022-RW-PFAS,NC0184010-OW1,INTAKE,10/11/2022,596446,ND,2.16,6.42,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TW1-10112022-DW-PFAS,NC0184010-OW1,INTAKE,10/11/2022,596446,ND,2.19,6.05,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TT1-10112022-RW-PFAS,NC0184010-TT1,INTAKE,10/11/2022,596444,ND,2.25,6.07,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TS5-10112022-DW-PFAS,NC0184010-TT1,INTAKE,10/11/2022,596444,ND,2.86,4.41,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-OW1-11022022-SW-PFAS,NC0184010-OW1,INTAKE,11/2/2022,599300,ND,2.54 h,4.85 h,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TW1-11022022-DW-PFAS,NC0184010-OW1,INTAKE,11/2/2022,599300,ND,2.49 h,5.00 h,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TT1-11022022-SW-PFAS,NC0184010-TT1,INTAKE,11/2/2022,599300,ND,2.24 h,4.73 h,2022
"Albemarle, City of",Stanly,NC0184010,NC0184010-TS5-11022022-DW-PFAS,NC0184010-TT1,INTAKE,11/2/2022,599300,ND,2.40 h,5.21 h,2022
Anson County Water System,Anson,NC0304010,0304010-P01-20220922-DW-PFAS,NC0304010-S01,INTAKE,9/22/2022,594333,ND,2.63,6.22,2022
Anson County Water System,Anson,NC0304010,0304010-S01-20220922-RW-PFAS,NC0304010-S01,INTAKE,9/22/2022,594333,ND,2.96,5.45,2022
Anson County Water System,Anson,NC0304010,0304010-P01-20221006-DW-PFAS,NC0304010-S01,INTAKE,10/6/2022,595961,ND,3.64,7.13,2022
Anson County Water System,Anson,NC0304010,0304010-S01-20221006-RW-PFAS,NC0304010-S01,INTAKE,10/6/2022,595961,ND,3.84,7.58,2022
Anson County Water System,Anson,NC0304010,0304010-P01-20221109-DW-PFAS,NC0304010-S01,INTAKE,11/9/2022,600298,ND,2.89,6.14,2022
Anson County Water System,Anson,NC0304010,0304010-S01-20221109-RW-PFAS,NC0304010-S01,INTAKE,11/9/2022,600298,ND,2.85,6.09,2022
"Asheboro, City of",Randolph,NC0276010,0276010-003-20220922-RW-PFAS,NC0276010-005,INTAKE,9/22/2022,594285,ND,12.1,17.5,2022
