System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0100488,SOUTH TOE ELEM SCHOOL,GW,119,5/29/2024,YANCEY,4.47,3.94,ND,3.48,ND,2.52,2024
NC0103437,GLADE CREEK ELEM SCHOOL,GW,350,5/23/2024,ALLEGHAN,ND,ND,ND,ND,ND,ND,2024
NC0103438,PINEY CREEK ELEM SCHOOL,GW,200,5/23/2024,ALLEGHAN,ND,ND,ND,ND,ND,ND,2024
NC0103481,PIONEER ECLIPSE CORPORATION,GW,125,5/23/2024,ALLEGHAN,ND,5.33,ND,ND,ND,ND,2024
NC0103481,PIONEER ECLIPSE CORPORATION,GW,125,5/23/2024,ALLEGHAN,ND,4.99,ND,ND,ND,ND,2024
NC0105441,UNITED CHEMI-CON,GW,130,6/18/2024,ASHE,ND,ND,ND,ND,ND,ND,2024
NC0105500,DOT-SMETHPORT MAINT YARD,GW,31,6/18/2024,ASHE,ND,ND,ND,ND,ND,ND,2024
NC0105500,DOT-SMETHPORT MAINT YARD,GW,31,6/18/2024,ASHE,ND,ND,ND,ND,ND,ND,2024
NC0106478,RIVERSIDE ELEM SCHOOL,GW,150,4/4/2024,AVERY,ND,ND,ND,ND,ND,ND,2024
NC0106512,SHOPS OF TYNECASTLE,GW,45,4/4/2024,AVERY,1.16,0.791,ND,1.69,ND,ND,2024
NC0111103,BILTMORE ESTATES,SWP,857,4/3/2024,BUNCOMB,ND,ND,ND,ND,ND,ND,2024
NC0111401,LEICESTER ELEM SCHOOL,GW,679,4/4/2024,BUNCOMB,ND,1.18,ND,1.24,ND,0.674,2024
NC0111460,OHIO ELECTRIC MOTORS,GW,62,4/3/2024,BUNCOMB,ND,ND,ND,ND,ND,ND,2024
NC0111472,BARNARDSVILLE ELEM SCHOOL,GW,460,4/4/2024,BUNCOMB,1.07,ND,ND,ND,ND,0.931,2024
NC0111503,TRAVEL CENTERS OF AMERICA,GW,63,4/3/2024,BUNCOMB,4.19,2.76,ND,1.68,ND,1.95,2024
NC0113168,SILVER MAPLES ESTATES MHP,GW,463,5/15/2024,CABARRUS,7.94,3.27,ND,6.39,ND,7.39,2024
NC0113216,WHITEHURST MHP,GW,688,5/20/2024,CABARRUS,6.65,2.35,ND,7.08,ND,2.89,2024
NC0118613,LAKE NORMAN MARINA INC,GW,39,5/14/2024,CATAWBA,ND,ND,ND,ND,ND,ND,2024
NC0118676,DUKE ENERGY-MARSHALL STEAM STATI,GW,150,5/14/2024,CATAWBA,ND,ND,ND,ND,ND,ND,2024
NC0118716,HONEY`S SUPERMARKET,GW,42,5/14/2024,CATAWBA,ND,ND,ND,ND,ND,ND,2024
NC0120402,RANGER ELEM SCHOOL,GW,350,5/14/2024,CHEROKEE,2.93,1.47,ND,ND,ND,ND,2024
NC0120403,HIWASSEE DAM SCHOOL,GW,300,5/14/2024,CHEROKEE,ND,ND,ND,ND,ND,ND,2024
NC0120448,DOT-CHEROKEE CO EQUIP SHOP,GW,45,5/14/2024,CHEROKEE,0.838,1.43,ND,ND,ND,ND,2024
NC0120456,MARTINS CREEK ELEM SCHOOL,GW,165,5/14/2024,CHEROKEE,ND,ND,ND,ND,ND,ND,2024
NC0136534,CHAPEL GROVE ELEM SCHOOL,GW,511,5/9/2024,GASTON,ND,0.877,ND,1.62,ND,0.707,2024
NC0136550,TRYON ELEMENTARY SCHOOL,GW,464,5/9/2024,GASTON,ND,ND,ND,ND,ND,ND,2024
NC0136550,TRYON ELEMENTARY SCHOOL,GW,464,8/28/2024,GASTON,ND,ND,ND,ND,ND,ND,2024
NC0136553,RAMSEY PRODUCTS INC,GW,80,5/2/2024,GASTON,4.28,5.74,ND,1.55,ND,3.83,2024
NC0136557,JOHN E JENKINS INC,GW,80,5/2/2024,GASTON,ND,ND,ND,ND,ND,ND,2024
NC0136944,DANIEL STOWE BOTANICAL GARDEN,GW,250,5/2/2024,GASTON,ND,ND,ND,ND,ND,ND,2024
NC0144131,HURRICANE RIDGE,GW,89,4/16/2024,HAYWOOD,ND,ND,ND,ND,ND,ND,2024
NC0144418,BETHEL MIDDLE SCHOOL,GW,230,4/4/2024,HAYWOOD,8.04,9.08,ND,1.46,ND,3.25,2024
NC0144418,BETHEL MIDDLE SCHOOL,GW,230,9/24/2024,HAYWOOD,12,14.1,ND,2.08,ND,4.56,2024
NC0144418,BETHEL MIDDLE SCHOOL,GW,230,9/24/2024,HAYWOOD,1.17,1.8,ND,1.43,ND,3.56,2024
NC0149506,SHEPHERD SCHOOL,GW,574,4/11/2024,IREDELL,2.61,2.11,ND,1.01,ND,0.773,2024
NC0149506,SHEPHERD SCHOOL,GW,574,4/11/2024,IREDELL,2.68,2.12,ND,1.04,ND,0.753,2024
NC0149509,WILLIAMS GAS PIPELINE-TRANCSO,GW,25,4/23/2024,IREDELL,2.79,2.61,ND,0.656,ND,ND,2024
NC0149511,BIG DADDY`S RESTAURANT,GW,55,4/23/2024,IREDELL,ND,8.64,ND,1.59,ND,1.33,2024
NC0149584,BUILDERS FIRST CHOICE,GW,30,4/23/2024,IREDELL,ND,5.66,ND,ND,ND,ND,2024
NC0150128,WHITESIDE ESTATES,GW,51,4/3/2024,JACKSON,ND,ND,ND,ND,ND,ND,2024
NC0150180,CASHIERS WATER WORKS,GW,406,4/3/2024,JACKSON,1.02,ND,ND,ND,0.884,ND,2024
NC0150461,BLUE RIDGE SCHOOL,GW,350,4/23/2024,JACKSON,ND,ND,ND,0.6,ND,ND,2024
NC0150461,BLUE RIDGE SCHOOL,GW,350,4/23/2024,JACKSON,ND,ND,ND,0.677,ND,ND,2024
NC0150497,MOUNTAIN SHOPS,GW,36,4/23/2024,JACKSON,ND,ND,ND,1.31,ND,ND,2024
NC0150515,LAUREL TERRACE,GW,40,4/23/2024,JACKSON,ND,ND,ND,ND,ND,ND,2024
NC0150516,CHESTNUT SQUARE,GW,50,4/23/2024,JACKSON,6.27,2.84,ND,1.42,ND,ND,2024
NC0156101,COATS AMERICAN,GW,290,6/27/2024,MCDOWEL,1.01,ND,ND,6.65,ND,ND,2024
NC0156113,LAMPLIGHTER MHP,GW,32,6/18/2024,MCDOWEL,ND,1.14,ND,2,ND,0.647,2024
NC0156436,WEST MARION ELEM SCHOOL,GW,449,3/12/2024,MCDOWEL,ND,ND,ND,ND,ND,ND,2024
NC0156532,COLUMBIA CAROLINA DIVISION,GW,300,3/12/2024,MCDOWEL,2.37,ND,ND,ND,ND,0.749,2024
NC0157420,IOTLA ELEM SCHOOL,GW,400,6/5/2024,MACON,ND,ND,ND,ND,ND,ND,2024
NC0157427,NANTAHALA SCHOOL,GW,112,6/5/2024,MACON,1.02,ND,ND,ND,ND,1.04,2024
NC0157428,LBJ JOB CORPS,GW,270,6/5/2024,MACON,ND,ND,ND,ND,ND,ND,2024
NC0158025,FAIRVIEW WATER ASSOC,GW,59,6/19/2024,MADISON,ND,ND,ND,ND,ND,ND,2024
NC0158447,MADISON MIDDLE SCHOOL,GW,1231,4/3/2024,MADISON,ND,ND,ND,ND,ND,ND,2024
NC0158450,FRENCH BROAD ELECTRIC CORP,GW,67,6/19/2024,MADISON,ND,ND,ND,ND,ND,ND,2024
NC0160196,WESTWOOD MHP,GW,56,5/1/2024,MECKLENB,ND,1.95,ND,5.49,ND,1.52,2024
NC0160605,BERRYHILL ELEM SCHOOL,GW,522,5/1/2024,MECKLENB,1.54,2.79,ND,1.58,ND,1.8,2024
NC0160605,BERRYHILL ELEM SCHOOL,GW,522,5/1/2024,MECKLENB,1.51,2.81,ND,1.6,ND,1.67,2024
NC0161428,SIBELCO NORTH AMERICA-RED HILL PLA,GW,97,5/29/2024,MITCHELL,ND,ND,ND,ND,ND,ND,2024
NC0175490,PAVILLON INTERNATIONAL,GW,99,5/8/2024,POLK,ND,0.841,ND,ND,ND,ND,2024
NC0180481,OLD CAROLINA BRICK,GW,50,5/16/2024,ROWAN,ND,ND,ND,ND,ND,ND,2024
NC0180649,BOSTIAN ELEM SCHOOL,GW,391,4/25/2024,ROWAN,1.6,1.57,ND,0.747,ND,0.847,2024
NC0180654,KNOLLWOOD ELEM SCHOOL,GW,750,4/25/2024,ROWAN,ND,ND,ND,ND,ND,ND,2024
NC0180655,MORGAN ELEMENTARY SCHOOL,GW,539,4/25/2024,ROWAN,ND,1.05,ND,ND,ND,0.617,2024
NC0180655,MORGAN ELEMENTARY SCHOOL,GW,539,4/25/2024,ROWAN,ND,1.04,ND,ND,ND,0.618,2024
NC0180656,MT ULLA ELEM SCHOOL,GW,370,4/25/2024,ROWAN,ND,ND,ND,ND,ND,ND,2024
NC0180760,MCKENZIE SPORTS PRODUCTS,GW,198,5/16/2024,ROWAN,ND,ND,ND,ND,ND,ND,2024
NC0181107,CHIMNEY ROCK VILLAGE,GW,71,5/8/2024,RUTHERF,ND,ND,ND,ND,ND,ND,2024
NC0187598,EAST SWAIN ELEM SCHOOL,GW,460,4/10/2024,SWAIN,ND,ND,ND,ND,ND,ND,2024
NC0187599,WEST SWAIN ELEM SCHOOL,GW,450,4/10/2024,SWAIN,ND,2.02,ND,3.89,ND,0.832,2024
NC0188500,MITCHELL-BISSELL CORP,GW,96,5/1/2024,TRANSYLV,ND,ND,ND,ND,ND,ND,2024
NC0188524,T C HENDERSON ELEM SCHOOL,GW,153,5/1/2024,TRANSYLV,ND,ND,ND,ND,ND,ND,2024
NC0188538,MOUNT PISGAH,GW,150,4/30/2024,TRANSYLV,2.16,1.7,ND,ND,ND,ND,2024
NC0188560,GAIA HERBS,GW,98,5/1/2024,TRANSYLV,ND,ND,ND,ND,ND,ND,2024
NC0190127,"JAARS, INC",GW,790,5/15/2024,UNION,2.63,ND,ND,ND,ND,ND,2024
