OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
NJDEP_DSREH,"NJDEP Div of Science, Research and Env Health",NJDEP_DSREH-Great Egg Harbor River:20090221AQUEOUSSA,2009-02-21,,,NJDEP_DSREH-Great Egg Harbor River,STORET-1102009661,,,,Hexafluoropropylene oxide dimer acid,,Not Detected,ng/L,U,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-110 Rev 02,SGS_AXYS,SGS AXYS MLA-110 Rev 02,,,https://www.sgsaxys.com/sampling-analysis/pfas/,,,,,,,,,,,,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-789992.1908151100.000S,2019-08-15,11:00:00,CDT,MNPCA_AGW-789992,STORET-946753469,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-04,0001-01-01 21:37:04,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-789992.1908151100.000S/results/946753469/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-707169.1908211600.000S,2019-08-21,16:00:00,CDT,MNPCA_AGW-707169,STORET-946749994,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-04,0001-01-01 15:37:03,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-707169.1908211600.000S/results/946749994/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-783315.1909171410.000S,2019-09-17,14:10:00,CDT,MNPCA_AGW-783315,STORET-946753532,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-23,0001-01-01 01:49:17,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-783315.1909171410.000S/results/946753532/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-785070.1905031150.000S,2019-05-03,11:50:00,CDT,MNPCA_AGW-785070,STORET-946735577,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-06,0001-01-01 01:35:28,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-785070.1905031150.000S/results/946735577/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-839169.1911011330.000S,2019-11-01,13:30:00,CDT,MNPCA_AGW-839169,STORET-946728545,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-11-26,0001-01-01 18:04:51,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-839169.1911011330.000S/results/946728545/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-633791.1908211510.000S,2019-08-21,15:10:00,CDT,MNPCA_AGW-633791,STORET-946749964,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-07,0001-01-01 22:21:42,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-633791.1908211510.000S/results/946749964/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-649961.1910291310.000S,2019-10-29,13:10:00,CDT,MNPCA_AGW-649961,STORET-946759093,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-11-26,0001-01-01 17:51:39,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-649961.1910291310.000S/results/946759093/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-707170.1908211630.000S,2019-08-21,16:30:00,CDT,MNPCA_AGW-707170,STORET-946750027,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-04,0001-01-01 15:50:24,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-707170.1908211630.000S/results/946750027/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-708434.1908071430.000S,2019-08-07,14:30:00,CDT,MNPCA_AGW-708434,STORET-946750057,,Below Reporting Limit,,Hexafluoropropylene oxide dimer acid,Total,,,U,Final,,Actual,,,,,,,,,,Lab qualifier:  (U),,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS_MLA-110,MNPCA_AGW,"Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous samples, Solids and Solvent Extracts by LC-MS/MS",,,,CN00003,2019-10-08,0001-01-01 04:08:22,PDT,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-708434.1908071430.000S/results/946750057/resdetectqntlmts,Y,,,,,STORET,GenX,Hexafluoropropylene oxide dimer acid,national
