OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
NJDEP_DSREH,"NJDEP Div of Science, Research and Env Health",NJDEP_DSREH-Great Egg Harbor River:20090221AQUEOUSSA,2009-02-21,,,NJDEP_DSREH-Great Egg Harbor River,STORET-1102009645,,,,Perfluorobutanesulfonic acid,,Not Detected,ng/L,U,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-110 Rev 02,SGS_AXYS,SGS AXYS MLA-110 Rev 02,,,https://www.sgsaxys.com/sampling-analysis/pfas/,,,,,,,,,,,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100752-1,2010-08-09,10:45:00,PST,OREGONDEQ-10580-ORDEQ,STORET-1055601047,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100752-1/results/1055601047/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100745-1,2010-08-09,10:23:00,PST,OREGONDEQ-19724-ORDEQ,STORET-775874168,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100745-1/results/775874168/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101051-1,2010-11-01,14:50:00,PST,OREGONDEQ-19785-ORDEQ,STORET-1055607917,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101051-1/results/1055607917/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100744-1,2010-08-09,11:00:00,PST,OREGONDEQ-19934-ORDEQ,STORET-775874150,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100744-1/results/775874150/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100662-1,2010-07-26,09:40:00,PST,OREGONDEQ-12841-ORDEQ,STORET-1055591674,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100662-1/results/1055591674/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101116-1,2010-11-15,11:00:00,PST,OREGONDEQ-20179-ORDEQ,STORET-1055612128,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101116-1/results/1055612128/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101120-1,2010-11-15,08:15:00,PST,OREGONDEQ-20248-ORDEQ,STORET-1055613990,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101120-1/results/1055613990/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100743-1,2010-08-09,08:20:00,PST,OREGONDEQ-11538-ORDEQ,STORET-775874132,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100743-1/results/775874132/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100727-1,2010-08-09,10:01:00,PST,OREGONDEQ-11544-ORDEQ,STORET-1055598048,,,,Perfluorobutanesulfonic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100727-1/results/1055598048/resdetectqntlmts,,,,,,STORET,PFBS,Perfluorobutanesulfonic acid,national
