OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-594117.0611161020.000S,2006-11-16,10:20:00,CST,MNPCA_AGW-594117,STORET-705796992,,Not Detected,,Perfluoroheptanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9503-2; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 06:27:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-594117.0611161020.000S/results/705796992/resdetectqntlmts,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-34-0066-00-100.0611081030.001S,2006-11-08,10:30:00,CST,MNPCA-34-0066-00-100,STORET-449639497,,Not Detected,,Perfluoroheptanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9494-1; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 05:29:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-34-0066-00-100.0611081030.001S/results/449639497/resdetectqntlmts,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-646145.0611081510.000S,2006-11-08,15:10:00,CST,MNPCA_AGW-646145,STORET-705731341,,Not Detected,,Perfluoroheptanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9494-5; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 06:26:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-646145.0611081510.000S/results/705731341/resdetectqntlmts,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-560408.0611011026.000S,2006-11-01,10:26:00,CST,MNPCA_AGW-560408,STORET-705752784,,Not Detected,,Perfluoroheptanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9470-4 -1; Extraction date 11/10/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-11,0001-01-01 07:33:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-560408.0611011026.000S/results/705752784/resdetectqntlmts,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-S005-455.0611081440.001S,2006-11-08,14:40:00,CST,MNPCA-S005-455,STORET-449614943,,Not Detected,,Perfluoroheptanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-1; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 09:33:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-S005-455.0611081440.001S/results/449614943/resdetectqntlmts,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-27-0031-00-100.0611151237.009S,2006-11-15,12:37:00,CST,MNPCA-27-0031-00-100,STORET-449635214,,,,Perfluoroheptanoic acid,Non-volatile,3.57,ng/L,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-9; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 11:42:00,PST,,,,,,,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-548017.0611011348.000S,2006-11-01,13:48:00,CST,MNPCA_AGW-548017,STORET-705606170,,,,Perfluoroheptanoic acid,Non-volatile,7.07,ng/L,,Final,,Actual,,,,,,,,,,Lab sample ID = L9470-10 -1; Extraction date 11/10/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-11,0001-01-01 08:45:00,PST,,,,,,,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-S001-238.0611091015.004S,2006-11-09,10:15:00,CST,MNPCA-S001-238,STORET-449619136,,,,Perfluoroheptanoic acid,Non-volatile,4.14,ng/L,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-4; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 10:16:00,PST,,,,,,,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-548017.0612180930.000S,2006-12-18,09:30:00,CST,MNPCA_AGW-548017,STORET-705606185,,,,Perfluoroheptanoic acid,Non-volatile,5.91,ng/L,,Final,,Actual,,,,,,,,,,Lab sample ID = L9572-5 -1; Extraction date 12/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-22,0001-01-01 21:03:00,PST,,,,,,,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-610950.0611081600.000S,2006-11-08,16:00:00,CST,MNPCA_AGW-610950,STORET-705604992,,Not Detected,,Perfluoroheptanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9494-6; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 06:40:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-610950.0611081600.000S/results/705604992/resdetectqntlmts,Y,,,,,STORET,PFHpA,Perfluoroheptanoic acid,national
