OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
DRBC,Delaware River Basin Commission,DRBC-P12:101707:1340:355-46-4,2007-10-17,13:40:00,EST,DRBC-P12,STORET-872467486,,Not Detected,,Perfluorohexanesulfonic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P12%3A101707%3A1340%3A355-46-4/results/872467486/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P9:101707:1230:355-46-4,2007-10-17,12:30:00,EST,DRBC-P9,STORET-872441274,,,,Perfluorohexanesulfonic acid,,4.12,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P9%3A101707%3A1230%3A355-46-4/results/872441274/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P1:101707:800:355-46-4,2007-10-17,08:00:00,EST,DRBC-P1,STORET-872441244,,,,Perfluorohexanesulfonic acid,,2.97,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P1%3A101707%3A800%3A355-46-4/results/872441244/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P4a:101707:1010:355-46-4,2007-10-17,10:10:00,EST,DRBC-P4a,STORET-872467481,,Not Detected,,Perfluorohexanesulfonic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P4a%3A101707%3A1010%3A355-46-4/results/872467481/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P7a:101707:1130:355-46-4,2007-10-17,11:30:00,EST,DRBC-P7a,STORET-872441265,,,,Perfluorohexanesulfonic acid,,4.48,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P7a%3A101707%3A1130%3A355-46-4/results/872441265/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P16:101707:1500:355-46-4,2007-10-16,15:00:00,EST,DRBC-P16,STORET-872467471,,Not Detected,,Perfluorohexanesulfonic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P16%3A101707%3A1500%3A355-46-4/results/872467471/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P16:101707:1500:355-46-4,2007-10-16,15:00:00,EST,DRBC-P16,STORET-872467472,,Not Detected,,Perfluorohexanesulfonic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P16%3A101707%3A1500%3A355-46-4/results/872467472/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P16:101707:1536:355-46-4,2007-10-17,15:36:00,EST,DRBC-P16,STORET-872467492,,Not Detected,,Perfluorohexanesulfonic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P16%3A101707%3A1536%3A355-46-4/results/872467492/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P7a:80608:1159:355-46-4,2008-08-06,11:59:00,EST,DRBC-P7a,STORET-872441405,,,,Perfluorohexanesulfonic acid,,2.1,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P7a%3A80608%3A1159%3A355-46-4/results/872441405/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
DRBC,Delaware River Basin Commission,DRBC-P12:80608:1400:355-46-4,2008-08-06,14:00:00,EST,DRBC-P12,STORET-872467650,,Not Detected,,Perfluorohexanesulfonic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,No EPA Equivalent,,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P12%3A80608%3A1400%3A355-46-4/results/872467650/resdetectqntlmts,,,,,,STORET,PFHxS,Perfluorohexanesulfonic acid,national
