OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-699638.0611010905.000S,2006-11-01,09:05:00,CST,MNPCA_AGW-699638,STORET-705606495,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9470-2 -1; Extraction date 11/10/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-11,0001-01-01 07:05:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-699638.0611010905.000S/results/705606495/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-591785.0611161315.000S,2006-11-16,13:15:00,CST,MNPCA_AGW-591785,STORET-705619180,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9503-4; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 06:56:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-591785.0611161315.000S/results/705619180/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-548017.0612181000.000SR1,2006-12-18,10:00:00,CST,MNPCA_AGW-548017,STORET-705606199,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9572-6 -1 (A); Extraction date 12/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-22,0001-01-01 21:18:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-548017.0612181000.000SR1/results/705606199/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-646145.0611081510.000S,2006-11-08,15:10:00,CST,MNPCA_AGW-646145,STORET-705731343,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9494-5; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 06:26:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-646145.0611081510.000S/results/705731343/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-560425.0611160910.000S,2006-11-16,09:10:00,CST,MNPCA_AGW-560425,STORET-705607070,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9503-1; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 06:13:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-560425.0611160910.000S/results/705607070/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-27-0031-00-100.0611151237.009S,2006-11-15,12:37:00,CST,MNPCA-27-0031-00-100,STORET-449635215,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-9; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 11:42:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-27-0031-00-100.0611151237.009S/results/449635215/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-S005-455.0611081450.003S,2006-11-08,14:50:00,CST,MNPCA-S005-455,STORET-449614965,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-3; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 10:02:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-S005-455.0611081450.003S/results/449614965/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-S001-238.0611091025.006S,2006-11-09,10:25:00,CST,MNPCA-S001-238,STORET-449619163,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-6; Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 10:45:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-S001-238.0611091025.006S/results/449619163/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-38-0231-00-100.0611060912.003S,2006-11-06,09:12:00,CST,MNPCA-38-0231-00-100,STORET-449639969,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9483-3; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 04:46:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-38-0231-00-100.0611060912.003S/results/449639969/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-34-0066-00-100.0611081030.001S,2006-11-08,10:30:00,CST,MNPCA-34-0066-00-100,STORET-449639498,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9494-1; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 05:29:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-34-0066-00-100.0611081030.001S/results/449639498/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-27-0031-00-100.0611151233.007S,2006-11-15,12:33:00,CST,MNPCA-27-0031-00-100,STORET-449635189,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-7  (A); Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 10:59:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-27-0031-00-100.0611151233.007S/results/449635189/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-S005-455.0611081445.002S,2006-11-08,14:45:00,CST,MNPCA-S005-455,STORET-449614957,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9508-2  (A); Extraction date 11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-12-04,0001-01-01 09:47:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA/activities/MNPCA-S005-455.0611081445.002S/results/449614957/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-658860.0611091200.000SR1,2006-11-09,12:00:00,CST,MNPCA_AGW-658860,STORET-705821898,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9494-10; Extraction date 11/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-22,0001-01-01 07:38:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-658860.0611091200.000SR1/results/705821898/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
MNPCA_AGW,Minnesota Pollution Control Agency - Ambient Groundwater,MNPCA_AGW-269197.0611010824.000S,2006-11-01,08:24:00,CST,MNPCA_AGW-269197,STORET-705598892,,Not Detected,,Perfluorononanoic acid,Non-volatile,,,,Final,,Actual,,,,,,,,,,Lab sample ID = L9470-1 -1; Extraction date 11/10/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXYS PFCS,MNPCA_AGW,Perfluorinated Compounds (PFCs) by LC/MS/MS,,,,CN00003,2006-11-11,0001-01-01 06:50:00,PST,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/MNPCA_AGW/activities/MNPCA_AGW-269197.0611010824.000S/results/705598892/resdetectqntlmts,Y,,,,,STORET,PFNA,Perfluorononanoic acid,national
