OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0305150000.000SR1,2003-05-15,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528440,,,,Perfluorooctanoic acid,Total,101,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0311050000.000SR1,2003-11-05,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528867,,,,Perfluorooctanoic acid,Total,67.8,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0311050000.000S,2003-11-05,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528877,,,,Perfluorooctanoic acid,Total,60.1,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0304230000.000SR1,2003-04-23,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528450,,,,Perfluorooctanoic acid,Total,109,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0302120000.000S,2003-02-12,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528056,,,,Perfluorooctanoic acid,Total,80.0,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0307160000.000SR1,2003-07-16,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528902,,,,Perfluorooctanoic acid,Total,79.7,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0305150000.000S,2003-05-15,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528445,,,,Perfluorooctanoic acid,Total,95.0,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0312100000.000SR1,2003-12-10,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528857,,,,Perfluorooctanoic acid,Total,66.5,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0310080000.000SR1,2003-10-08,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528882,,,,Perfluorooctanoic acid,Total,102,ug/L,,Final,,Actual,,,,,,,,,,Should be considered as screening quality data because of high field spike recovery; Equipment blank >QL,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-MN0001449-SD001.0312100000.000S,2003-12-10,00:01:00,UTC,MNPCA-MN0001449-SD001,STORET-249528862,,,,Perfluorooctanoic acid,Total,64.7,ug/L,,Final,,Actual,,,,,,,,,,Analytical accuracy is +/- 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0002561,MNPCA,Perfluoronated compounds (PFCs) by Exygen Protocol P0002561,,,,MNL0024,1901-01-01,0001-01-01 00:01:00,UTC,,,,,,,,,,,,STORET,PFOA,Perfluorooctanoic acid,national
