OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,_congener_key,_variant_used,_source_query
NJDEP_DSREH,"NJDEP Div of Science, Research and Env Health",NJDEP_DSREH-Great Egg Harbor River:20090221AQUEOUSSA,2009-02-21,,,NJDEP_DSREH-Great Egg Harbor River,STORET-1102009658,,,,Perfluoroundecanoic acid,,Not Detected,ng/L,U,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLA-110 Rev 02,SGS_AXYS,SGS AXYS MLA-110 Rev 02,,,https://www.sgsaxys.com/sampling-analysis/pfas/,,,,,,,,,,,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100722-1,2010-08-09,09:45:00,PST,OREGONDEQ-11940-ORDEQ,STORET-1055596701,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100722-1/results/1055596701/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101117-1,2010-11-15,08:41:00,PST,OREGONDEQ-10577-ORDEQ,STORET-1055612612,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101117-1/results/1055612612/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101053-1,2010-11-01,14:20:00,PST,OREGONDEQ-10580-ORDEQ,STORET-1055608400,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101053-1/results/1055608400/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101051-1,2010-11-01,14:50:00,PST,OREGONDEQ-19785-ORDEQ,STORET-1055607930,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101051-1/results/1055607930/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101195-2,2010-11-29,09:40:00,PST,OREGONDEQ-11551-ORDEQ,STORET-1055624845,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101195-2/results/1055624845/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100739-1,2010-08-09,10:44:00,PST,OREGONDEQ-20089-ORDEQ,STORET-775874093,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100739-1/results/775874093/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100735-1,2010-08-09,10:30:00,PST,OREGONDEQ-11543-ORDEQ,STORET-775874039,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100735-1/results/775874039/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20101038-1,2010-11-01,09:17:00,PST,OREGONDEQ-19934-ORDEQ,STORET-1055602284,,,,Perfluoroundecanoic acid,,< 2.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20101038-1/results/1055602284/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100660-1,2010-07-26,10:15:00,PST,OREGONDEQ-11495-ORDEQ,STORET-1055590758,,,,Perfluoroundecanoic acid,,< 1.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100660-1/results/1055590758/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
OREGONDEQ,Department of Environmental Quality - State of Oregon,OREGONDEQ-20100664-1,2010-07-26,08:24:00,PST,OREGONDEQ-20235-ORDEQ,STORET-1055592507,,,,Perfluoroundecanoic acid,,< 1.0,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC-MS/MS,OREGONDEQ,LC-MS/MS,,,,DEQ Laboratory and Environmental Assessment Div.,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/OREGONDEQ/activities/OREGONDEQ-20100664-1/results/1055592507/resdetectqntlmts,,,,,,STORET,PFUnDA,Perfluoroundecanoic acid,national
