OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AL,USGS Alabama Water Science Center,USGS-302120087374201,Well  ZZ-32 Baldwin County Al,Well,,03140107,,,,,30.35555556000000,-87.6283333000000,24000,Unknown,Unknown,Reported.,NAD83,15,feet,1,feet,Interpolated from topographic map.,NGVD29,US,01,003,Coastal lowlands aquifer system,,Miocene Series,Unconfined single aquifer,,247.5,ft,247.5,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-310338087101502,Well McCall Well 1 Escambia Cnty AL,Well,,03140304,,,,,31.06079167000000,-87.1708333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,192,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,053,Floridan aquifer system,,Oligocene Series,Confined multiple aquifers,1971,700,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-310630085355601,Well  M   8   310630085355601 Geneva County Al,Well,,03140201,,,,,31.10822220000000,-85.5987778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,288,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,061,Southeastern Coastal Plain aquifer system,,Tuscahoma Sand,,,810,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-311805085462401,Well M 23 311805085462401 Dale County Al,Well,,03140201,,,,,31.30181070000000,-85.7734080000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,330,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,045,Southeastern Coastal Plain aquifer system,,Providence Sand,,20000313,1045,ft,1045,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-311928085494201,Well  P 8 ENTERPRISE NO. 7  311928085494201,Well,,03140201,,,,,31.32683750000000,-85.8168819000000,24000,1,seconds,Interpolated from MAP.,NAD83,352,feet,5,feet,Altimeter.,NGVD29,US,01,031,Southeastern Coastal Plain aquifer system,,Tallahatta Formation,,19790109,753,ft,867,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-312510087142601,Well V 4 TOWN OF REPTON 312510087142601,Well,,03140305,,,,,31.41961030000000,-87.2405364000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,354.00,feet,.01,feet,Unknown.,NGVD29,US,01,035,Floridan aquifer system,,Oligocene Series,Confined multiple aquifers,,204,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-312534085203401,Well  U 11  312534085203401 Henry County Al,Well,,03130004,,,,,31.42628220000000,-85.3427120000000,24000,1,seconds,Interpolated from MAP.,NAD83,394,feet,5,feet,Altimeter.,NGVD29,US,01,067,Southeastern Coastal Plain aquifer system,,Nanafalia Formation,,19740123,420,ft,572,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-313139085402101,Well  F  24  313139085402101 Dale County Al,Well,,03140201,,,,,31.52766715000000,-85.6724390000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,498,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,045,Southeastern Coastal Plain aquifer system,,Providence Sand,,,830,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-314038085365401,Well EE 9  314038085365401 Barbour County Al,Well,,03140201,,,,,31.67738695000000,-85.6149412000000,24000,1,seconds,Interpolated from MAP.,NAD83,570,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,005,Southeastern Coastal Plain aquifer system,,Providence Sand,,197906,650,ft,701,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-314249086153501,Well  L 5  314249086153501 Crenshaw County Al,Well,,03140302,,,,,31.71404553000000,-86.2649603000000,24000,1,seconds,Interpolated from MAP.,NAD83,338.00,feet,5,feet,Altimeter.,NGVD29,US,01,041,Southeastern Coastal Plain aquifer system,,Eutaw Formation,Confined single aquifer,19531001,567,ft,578,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-314647085333501,Well AA 12  314647085333501 Barbour County Al,Well,,03140202,,,,,31.77988530000000,-85.5596640900000,24000,1,seconds,Interpolated from MAP.,NAD83,555,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,005,,,Providence Sand,,19670126,299,ft,309,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-315244085100401,Well  V 3  315244085100401 Barbour County Al,Well,,03130003,,,,,31.87904980000000,-85.1677104000000,24000,1,seconds,Interpolated from MAP.,NAD83,205,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,005,Southeastern Coastal Plain aquifer system,,Tuscaloosa Group,,19610105,1602,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-315444086352901,Well   B  18 Butler County Al,Well,,03140303,,,,,31.91287275000000,-86.5914185000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,530,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,013,Southeastern Coastal Plain aquifer system,,Ripley Formation,Confined single aquifer,,555,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-315522087045901,Well U-17 Wilcox County Al,Well,,03150203,,,,,31.92277778000000,-87.0830556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,405,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,131,Southeastern Coastal Plain aquifer system,,Ripley Formation,,,682,ft,682,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-315621088271901,Well  Z 3  315621088271901 Choctaw County Al,Well,,03160201,,,,,31.93931827000000,-88.4553068000000,24000,1,seconds,Interpolated from MAP.,NAD83,375.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,023,Mississippi embayment aquifer system,,Lisbon Formation,,19790101,382,ft,573,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-315820087202001,Well N-82  Well 4 Near Camden Al Wilcox County Al,Well,,03150203,,,,,31.98750000000000,-87.3397222000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,140,feet,5,feet,Global Positioning System.,NAVD88,US,01,131,Southeastern Coastal Plain aquifer system,,Ripley Formation,Confined single aquifer,,390,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-320431085315301,Well  J 4  320431085315301 Bullock County Al,Well,,03140202,,,,,32.07543107000000,-85.5313335000000,24000,5,seconds,Interpolated from MAP.,NAD83,530,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,011,Southeastern Coastal Plain aquifer system,,Eutaw Formation,Confined single aquifer,1973,,,,,NWIS
